employee_id,department,location,salary,performance_score,hire_date
EMP0138,Finance,New York,102000.0,3.2,2023-03-28
EMP0139,Finance,New York,50000.0,4.3,2024-07-28
EMP0140,Marketing,New York,60000.0,1.7,2021-12-08
EMP0141,Operations,San Francisco,65000.0,3.1,2020-06-01
EMP0142,Sales,London,30000.0,3.2,2021-09-25
EMP0143,Marketing,Sydney,73000.0,1.9,2015-12-04
EMP0144,Marketing,Tokyo,35000.0,3.6,2022-04-25
EMP0145,Operations,San Francisco,94000.0,1.1,2018-04-15
EMP0146,Finance,Sydney,58000.0,3.5,2015-12-17
EMP0147,Marketing,Tokyo,57000.0,2.5,2016-09-30
EMP0148,Sales,San Francisco,67000.0,2.7,2017-07-21
EMP0149,Engineering,London,107000.0,2.8,2018-12-28
EMP0150,Operations,Sydney,95000.0,4.0,2021-08-08
EMP0151,Operations,San Francisco,68000.0,5.0,2025-05-01
EMP0152,Finance,Tokyo,105000.0,1.8,2018-02-02
EMP0153,Marketing,San Francisco,64000.0,2.1,2016-10-19
EMP0154,Operations,San Francisco,116000.0,1.7,2023-02-05
EMP0155,Marketing,London,75000.0,2.1,2024-07-26
EMP0156,Sales,Tokyo,54000.0,4.4,2018-08-07
EMP0157,Marketing,Sydney,66000.0,1.4,2022-06-11
EMP0158,Finance,San Francisco,90000.0,1.2,2022-12-27
EMP0159,Operations,London,48000.0,1.9,2019-02-27
EMP0160,Sales,London,119000.0,2.9,2023-05-31
EMP0161,Operations,New York,104000.0,3.7,2017-11-22
EMP0162,Sales,London,30000.0,1.3,2015-11-05
EMP0163,Operations,San Francisco,47000.0,1.3,2023-06-05
EMP0164,Engineering,London,76000.0,3.1,2025-06-14
EMP0165,Sales,New York,83000.0,2.1,2022-07-20
EMP0166,Marketing,Sydney,77000.0,3.2,2017-09-21
EMP0167,Marketing,Tokyo,71000.0,4.3,2016-05-27
EMP0168,Operations,London,96000.0,1.7,2024-02-24
EMP0169,Finance,New York,62000.0,1.6,2016-07-22
EMP0170,Engineering,Tokyo,97000.0,4.1,2017-05-06
EMP0171,Finance,London,53000.0,4.7,2016-11-23
EMP0172,Engineering,Sydney,59000.0,3.3,2023-08-24
EMP0173,Engineering,San Francisco,81000.0,2.7,2021-02-20
EMP0174,Marketing,Tokyo,74000.0,3.4,2022-10-16
EMP0175,Finance,New York,70000.0,2.1,2022-06-20
EMP0176,Finance,London,55000.0,2.6,2023-05-13
EMP0177,Engineering,San Francisco,90000.0,1.7,2016-07-03
EMP0178,Sales,San Francisco,83000.0,3.7,2023-07-02
EMP0179,Engineering,Tokyo,55000.0,2.3,2017-08-30
EMP0180,Finance,London,102000.0,4.4,2024-07-09
EMP0181,Engineering,Tokyo,75000.0,3.2,2020-03-10
EMP0182,Finance,New York,75000.0,1.7,2022-05-20
EMP0183,Finance,Sydney,42000.0,3.3,2018-05-04
EMP0184,Marketing,London,49000.0,4.2,2017-09-20
EMP0185,Sales,London,76000.0,2.9,2024-09-26
EMP0186,Sales,London,99000.0,5.0,2017-08-28
EMP0187,Operations,New York,73000.0,1.1,2017-01-25
EMP0188,Sales,London,73000.0,4.2,2023-07-14
EMP0189,Marketing,Sydney,89000.0,3.3,2023-03-22
EMP0190,Sales,London,97000.0,3.0,2023-10-20
EMP0191,Marketing,Sydney,51000.0,4.3,2023-05-01
EMP0192,Marketing,New York,57000.0,4.2,2017-12-03
EMP0193,Sales,London,114000.0,4.1,2019-04-13
EMP0194,Marketing,Sydney,93000.0,2.4,2018-10-22
EMP0195,Finance,London,71000.0,3.4,2020-08-14
EMP0196,Engineering,San Francisco,101000.0,4.1,2021-01-23
EMP0197,Sales,Sydney,71000.0,2.0,2018-12-05
EMP0198,Operations,Tokyo,46000.0,1.5,2018-08-15
EMP0199,Marketing,San Francisco,48000.0,3.1,2021-08-21
EMP0200,Finance,Tokyo,82000.0,3.4,2016-12-21
EMP0201,Finance,New York,77000.0,5.0,2023-06-04
EMP0202,Operations,London,67000.0,2.2,2022-09-20
EMP0203,Operations,New York,89000.0,1.3,2021-04-08
EMP0204,Sales,Tokyo,58000.0,1.6,2020-02-21
EMP0205,Engineering,New York,68000.0,2.0,2022-06-01
EMP0206,Marketing,San Francisco,71000.0,3.9,2021-01-29
EMP0207,Finance,London,107000.0,2.3,2018-03-13
EMP0208,Engineering,San Francisco,115000.0,2.4,2018-10-28
EMP0209,Engineering,Tokyo,83000.0,2.6,2016-04-07
EMP0210,Operations,Sydney,82000.0,4.7,2024-01-28
EMP0211,Finance,Tokyo,70000.0,3.3,2016-12-30
EMP0212,Finance,London,103000.0,1.2,2018-06-12
EMP0213,Sales,Sydney,56000.0,4.9,2023-02-20
EMP0214,Engineering,London,51000.0,4.6,2021-11-24
EMP0215,Engineering,London,84000.0,2.6,2019-06-23
EMP0216,Finance,Sydney,127000.0,1.0,2019-08-19
EMP0217,Operations,New York,55000.0,4.6,2020-02-17
EMP0218,Engineering,Sydney,85000.0,2.9,2017-09-23
EMP0219,Engineering,New York,65000.0,3.3,2020-06-04
EMP0220,Marketing,Tokyo,90000.0,2.1,2021-03-08
EMP0221,Marketing,New York,64000.0,3.0,2019-03-15
EMP0222,Sales,London,83000.0,3.4,2018-08-22
EMP0223,Engineering,Sydney,55000.0,4.0,2019-01-06
EMP0224,Operations,New York,84000.0,3.6,2016-12-06
EMP0225,Sales,London,80000.0,3.3,2018-09-04
EMP0226,Engineering,New York,72000.0,3.1,2016-12-23
EMP0227,Engineering,London,71000.0,3.0,2020-08-18
EMP0228,Sales,Sydney,62000.0,4.4,2017-09-18
EMP0229,Sales,New York,83000.0,4.5,2025-05-14
EMP0230,Finance,Tokyo,65000.0,2.4,2025-07-18
EMP0231,Marketing,New York,66000.0,3.3,2024-05-07
EMP0232,Sales,San Francisco,63000.0,3.9,2024-12-16
EMP0233,Operations,London,90000.0,4.0,2021-12-17
EMP0234,Engineering,San Francisco,88000.0,3.1,2022-02-08
EMP0235,Marketing,Tokyo,75000.0,3.2,2022-01-21
EMP0236,Operations,London,63000.0,2.2,2021-05-08
EMP0237,Marketing,Sydney,73000.0,1.1,2015-12-15
EMP0238,Finance,London,65000.0,5.0,2024-11-03
EMP0239,Finance,Sydney,102000.0,1.2,2016-08-20
EMP0240,Marketing,Sydney,80000.0,4.8,2018-12-28
EMP0241,Marketing,Tokyo,99000.0,2.7,2016-09-19
EMP0242,Finance,San Francisco,54000.0,3.9,2023-10-25
EMP0243,Finance,New York,86000.0,2.3,2022-07-26
EMP0244,Marketing,San Francisco,83000.0,1.5,2021-03-24
EMP0245,Engineering,Sydney,77000.0,2.3,2024-09-23
EMP0246,Marketing,Tokyo,73000.0,1.6,2024-12-30
EMP0247,Finance,London,59000.0,2.1,2024-09-29
EMP0248,Marketing,London,76000.0,1.9,2019-11-26
EMP0249,Sales,Tokyo,76000.0,4.0,2016-11-03
EMP0250,Marketing,Tokyo,99000.0,4.6,2017-11-28
EMP0251,Finance,London,78000.0,2.7,2020-09-15
EMP0252,Finance,San Francisco,67000.0,2.0,2025-02-12
EMP0253,Operations,New York,71000.0,2.5,2021-11-05
EMP0254,Sales,San Francisco,56000.0,2.6,2024-03-04
EMP0255,Operations,Tokyo,59000.0,2.1,2017-04-03
EMP0256,Finance,Sydney,83000.0,2.1,2021-05-08
EMP0257,Operations,London,72000.0,4.8,2023-01-25
EMP0258,Sales,Sydney,83000.0,3.7,2022-12-22
EMP0259,Operations,London,85000.0,1.8,2018-03-28
EMP0260,Operations,London,61000.0,1.4,2023-01-17
EMP0261,Sales,New York,75000.0,4.9,2022-11-25
EMP0262,Marketing,London,71000.0,1.3,2025-06-26
EMP0263,Operations,Sydney,65000.0,1.5,2018-09-15
EMP0264,Sales,Sydney,61000.0,4.9,2022-01-29
EMP0265,Operations,Sydney,60000.0,1.4,2023-12-23
EMP0266,Sales,New York,61000.0,2.8,2023-01-17
EMP0267,Marketing,Sydney,83000.0,2.4,2024-05-09
EMP0268,Marketing,New York,62000.0,1.0,2018-01-12
EMP0269,Sales,New York,99000.0,4.9,2017-06-07
EMP0270,Marketing,San Francisco,73000.0,4.2,2017-12-15
EMP0271,Finance,New York,49000.0,2.5,2020-04-06
EMP0272,Engineering,New York,60000.0,2.1,2016-02-27
EMP0273,Engineering,Tokyo,91000.0,3.6,2020-07-24
EMP0274,Marketing,San Francisco,69000.0,1.7,2020-11-30
EMP0275,Marketing,Tokyo,99000.0,2.8,2017-08-27
EMP0276,Operations,New York,112000.0,2.4,2019-03-12
EMP0277,Sales,New York,95000.0,3.1,2018-07-27
EMP0278,Marketing,London,81000.0,1.7,2016-04-14
EMP0279,Marketing,New York,85000.0,1.7,2022-04-15
EMP0280,Finance,Sydney,118000.0,2.8,2017-12-24
EMP0281,Marketing,Sydney,78000.0,4.1,2022-03-02
EMP0282,Finance,San Francisco,98000.0,3.3,2018-05-13
EMP0283,Sales,Tokyo,68000.0,1.7,2018-04-07
EMP0284,Engineering,New York,60000.0,2.3,2015-11-29
EMP0285,Marketing,London,74000.0,3.9,2017-07-25
EMP0286,Marketing,New York,74000.0,3.5,2024-02-26
EMP0287,Finance,London,76000.0,3.3,2020-11-24
EMP0288,Sales,San Francisco,53000.0,4.9,2023-07-19
EMP0289,Operations,Tokyo,92000.0,4.4,2018-10-09
EMP0290,Sales,Sydney,60000.0,4.7,2017-05-22
EMP0291,Sales,London,107000.0,3.5,2016-02-17
EMP0292,Sales,London,85000.0,2.4,2021-11-24
EMP0293,Marketing,Tokyo,97000.0,2.9,2018-08-02
EMP0294,Sales,Sydney,64000.0,1.5,2016-05-19
EMP0295,Operations,Tokyo,84000.0,2.5,2019-04-22
EMP0296,Finance,Sydney,79000.0,3.7,2024-02-14
EMP0297,Operations,Sydney,58000.0,2.3,2024-12-15
EMP0298,Marketing,Tokyo,63000.0,4.6,2021-12-17
EMP0299,Engineering,New York,39000.0,2.0,2022-03-22
EMP0300,Engineering,New York,78000.0,3.5,2022-03-15
EMP0301,Marketing,San Francisco,68000.0,2.9,2023-04-04
EMP0302,Sales,Sydney,56000.0,3.5,2019-06-24
EMP0303,Finance,London,64000.0,1.1,2018-05-06
EMP0304,Sales,San Francisco,82000.0,4.2,2016-03-02
EMP0305,Marketing,San Francisco,77000.0,2.3,2021-10-20
EMP0306,Operations,London,86000.0,3.7,2020-02-28
EMP0307,Sales,New York,88000.0,3.3,2019-06-27
EMP0308,Marketing,Sydney,91000.0,1.2,2017-10-21
EMP0309,Marketing,Sydney,87000.0,1.6,2019-01-29
EMP0310,Marketing,Tokyo,53000.0,4.0,2024-07-27
EMP0311,Marketing,New York,52000.0,1.5,2020-08-27
EMP0312,Sales,Sydney,96000.0,2.3,2018-07-02
EMP0313,Operations,Sydney,49000.0,4.0,2020-01-17
EMP0314,Operations,Tokyo,87000.0,4.6,2025-04-23
EMP0315,Marketing,Tokyo,105000.0,5.0,2019-07-02
EMP0316,Engineering,Sydney,86000.0,4.7,2023-10-30
EMP0317,Finance,Tokyo,79000.0,1.6,2025-01-27
EMP0318,Finance,San Francisco,59000.0,1.1,2020-04-11
EMP0319,Operations,London,90000.0,4.5,2024-08-14
EMP0320,Marketing,San Francisco,87000.0,1.3,2019-10-24
EMP0321,Marketing,San Francisco,55000.0,2.5,2025-03-13
EMP0322,Operations,Sydney,65000.0,2.3,2024-07-07
EMP0323,Marketing,London,54000.0,2.2,2024-07-30
EMP0324,Sales,Sydney,61000.0,2.4,2019-01-03
EMP0325,Sales,Sydney,85000.0,2.6,2019-07-05
EMP0326,Sales,San Francisco,96000.0,1.3,2016-02-19
EMP0327,Operations,Tokyo,59000.0,2.0,2025-03-20
EMP0328,Engineering,Sydney,86000.0,3.0,2020-10-22
EMP0329,Operations,New York,87000.0,2.0,2018-08-07
EMP0330,Engineering,London,85000.0,4.4,2023-07-16
EMP0331,Marketing,Sydney,77000.0,2.7,2020-09-12
EMP0332,Marketing,Sydney,45000.0,2.4,2021-07-27
EMP0333,Marketing,Tokyo,104000.0,3.5,2018-12-25
EMP0334,Operations,Tokyo,54000.0,1.3,2022-12-06
EMP0335,Sales,New York,65000.0,2.4,2021-08-05
EMP0336,Operations,Tokyo,108000.0,2.4,2025-06-13
EMP0337,Sales,Sydney,72000.0,3.6,2020-04-22
EMP0338,Finance,Tokyo,108000.0,2.4,2025-05-13
EMP0339,Engineering,New York,87000.0,1.0,2015-10-28
EMP0340,Sales,New York,49000.0,3.5,2024-04-18
EMP0341,Engineering,San Francisco,74000.0,2.6,2015-10-15
EMP0342,Sales,New York,57000.0,4.0,2025-05-04
EMP0343,Sales,London,59000.0,2.3,2018-01-05
EMP0344,Operations,Sydney,49000.0,3.2,2020-02-29
EMP0345,Marketing,London,87000.0,3.9,2016-08-14
EMP0346,Engineering,New York,72000.0,1.2,2020-04-07
EMP0347,Engineering,Tokyo,69000.0,1.3,2017-07-22
EMP0348,Marketing,Tokyo,124000.0,4.9,2017-11-03
EMP0349,Operations,London,84000.0,4.6,2016-09-24
EMP0350,Marketing,London,88000.0,1.9,2018-03-15
EMP0351,Engineering,London,112000.0,3.6,2019-09-07
EMP0352,Marketing,Sydney,87000.0,1.6,2021-08-24
EMP0353,Engineering,New York,74000.0,2.2,2024-05-18
EMP0354,Engineering,San Francisco,112000.0,1.9,2021-01-01
EMP0355,Marketing,London,58000.0,2.5,2022-12-16
EMP0356,Marketing,Sydney,67000.0,3.2,2024-03-05
EMP0357,Operations,Tokyo,77000.0,1.3,2016-02-23
EMP0358,Engineering,New York,101000.0,2.0,2019-01-28
EMP0359,Finance,San Francisco,70000.0,1.6,2021-05-16
EMP0360,Operations,New York,48000.0,1.7,2022-07-27
EMP0361,Operations,Sydney,42000.0,4.7,2019-10-19
EMP0362,Marketing,New York,100000.0,1.7,2017-01-04
EMP0363,Sales,Tokyo,72000.0,2.5,2019-08-03
EMP0364,Engineering,New York,88000.0,4.2,2024-05-30
EMP0365,Marketing,New York,48000.0,1.6,2020-02-24
EMP0366,Sales,Sydney,65000.0,4.1,2022-07-14
EMP0367,Sales,Tokyo,44000.0,2.9,2017-06-04
EMP0368,Engineering,Sydney,111000.0,4.3,2019-06-13
EMP0369,Sales,San Francisco,55000.0,3.8,2017-03-03
EMP0370,Marketing,London,45000.0,1.2,2018-01-26
EMP0371,Marketing,San Francisco,79000.0,2.2,2019-03-26
EMP0372,Sales,Sydney,87000.0,3.8,2021-11-23
EMP0373,Finance,San Francisco,54000.0,5.0,2021-06-21
EMP0374,Operations,Tokyo,65000.0,3.9,2022-12-03
EMP0375,Sales,London,86000.0,1.6,2022-03-20
EMP0376,Operations,Sydney,87000.0,4.1,2019-07-26
EMP0377,Finance,San Francisco,61000.0,4.5,2016-10-16
EMP0378,Engineering,New York,79000.0,2.5,2021-07-19
EMP0379,Sales,San Francisco,99000.0,1.5,2018-10-18
EMP0380,Sales,Tokyo,70000.0,1.4,2016-02-24
EMP0381,Engineering,San Francisco,75000.0,1.9,2023-07-20
EMP0382,Engineering,London,79000.0,4.6,2020-09-02
EMP0383,Finance,New York,86000.0,4.3,2018-12-25
EMP0384,Marketing,London,88000.0,4.7,2021-05-07
EMP0385,Engineering,San Francisco,79000.0,1.1,2019-09-09
EMP0386,Marketing,Sydney,62000.0,3.4,2022-01-14
EMP0387,Sales,New York,61000.0,2.7,2020-04-26
EMP0388,Operations,New York,98000.0,4.2,2020-03-09
EMP0389,Operations,London,86000.0,4.2,2019-06-29
EMP0390,Marketing,London,85000.0,4.2,2020-05-05
EMP0391,Marketing,New York,77000.0,3.7,2024-08-28
EMP0392,Marketing,Sydney,89000.0,1.2,2019-07-03
EMP0393,Finance,Tokyo,61000.0,4.1,2021-10-11
EMP0394,Marketing,New York,85000.0,3.9,2022-08-21
EMP0395,Marketing,New York,88000.0,2.9,2022-11-13
EMP0396,Engineering,San Francisco,74000.0,2.2,2018-10-22
EMP0397,Engineering,San Francisco,82000.0,4.2,2019-03-21
EMP0398,Sales,San Francisco,64000.0,4.1,2017-01-02
EMP0399,Engineering,New York,72000.0,1.4,2019-04-08
EMP0400,Sales,New York,92000.0,2.7,2018-05-04
EMP0401,Sales,San Francisco,111000.0,3.9,2020-03-19
EMP0402,Sales,Tokyo,31000.0,4.9,2016-09-26
EMP0403,Sales,Tokyo,34000.0,3.9,2016-02-20
EMP0404,Engineering,San Francisco,68000.0,4.3,2018-01-10
EMP0405,Finance,Tokyo,45000.0,4.7,2021-05-18
EMP0406,Finance,Tokyo,64000.0,1.3,2023-05-11
EMP0407,Engineering,Tokyo,83000.0,4.3,2023-04-24
EMP0408,Marketing,Tokyo,57000.0,3.3,2022-06-27
EMP0409,Marketing,London,62000.0,4.8,2018-02-12
EMP0410,Operations,San Francisco,74000.0,3.8,2016-11-03
EMP0411,Operations,Sydney,59000.0,4.2,2016-03-16
EMP0412,Engineering,San Francisco,103000.0,1.7,2016-11-29
EMP0413,Marketing,Sydney,44000.0,2.1,2023-07-28
EMP0414,Engineering,London,70000.0,3.6,2020-05-09
EMP0415,Finance,San Francisco,47000.0,3.3,2021-03-11
EMP0416,Finance,San Francisco,67000.0,2.0,2024-09-11
EMP0417,Engineering,Tokyo,97000.0,1.7,2020-11-20
EMP0418,Finance,San Francisco,62000.0,2.9,2021-08-26
EMP0419,Sales,London,84000.0,1.2,2022-08-13
EMP0420,Engineering,Sydney,63000.0,2.7,2023-02-16
EMP0421,Operations,San Francisco,94000.0,4.6,2018-02-01
EMP0422,Operations,London,58000.0,2.0,2017-06-20
EMP0423,Engineering,New York,78000.0,1.7,2020-11-02
EMP0424,Operations,San Francisco,87000.0,3.2,2020-01-08
EMP0425,Marketing,Tokyo,105000.0,2.9,2017-06-21
EMP0426,Sales,Tokyo,75000.0,3.9,2023-01-09
EMP0427,Operations,New York,103000.0,2.1,2016-10-28
EMP0428,Engineering,Tokyo,129000.0,4.3,2023-12-05
EMP0429,Engineering,Tokyo,72000.0,2.9,2015-10-24
EMP0430,Sales,London,63000.0,3.5,2025-05-19
EMP0431,Sales,London,71000.0,2.7,2018-06-19
EMP0432,Finance,London,98000.0,2.3,2024-12-28
EMP0433,Marketing,San Francisco,105000.0,4.1,2016-08-20
EMP0434,Engineering,New York,72000.0,3.1,2016-08-11
EMP0435,Sales,San Francisco,78000.0,2.3,2019-02-05
EMP0436,Finance,San Francisco,58000.0,3.5,2018-09-15
EMP0437,Finance,New York,81000.0,4.2,2018-11-26
EMP0438,Sales,Tokyo,107000.0,1.9,2021-05-30
EMP0439,Engineering,New York,99000.0,1.4,2019-04-07
EMP0440,Marketing,San Francisco,54000.0,2.6,2016-05-20
EMP0441,Sales,Tokyo,62000.0,4.3,2016-04-15
EMP0442,Marketing,London,85000.0,4.6,2020-01-28
EMP0443,Sales,New York,93000.0,2.6,2021-05-19
EMP0444,Marketing,Tokyo,52000.0,4.5,2018-08-20
EMP0445,Marketing,Sydney,100000.0,4.9,2023-04-21
EMP0446,Operations,San Francisco,76000.0,4.0,2016-02-05
EMP0447,Finance,New York,75000.0,1.6,2016-09-21
EMP0448,Finance,San Francisco,79000.0,1.1,2016-07-14
EMP0449,Operations,London,86000.0,2.7,2023-03-08
EMP0450,Marketing,Sydney,58000.0,4.8,2021-02-11
EMP0451,Marketing,San Francisco,94000.0,4.2,2017-04-01
